Date,Open,High,Low,Close,Adj Close,Volume,100ma
2010-11-17,30.200001,30.75,28.610001,29.49,29.49,750000,20.987900040000003
2010-11-18,30.67,30.74,28.92,29.889999,29.889999,956100,21.047900040000005
2010-11-19,30.16,31.370001,29.700001,30.99,30.99,1150500,21.119500040000002
2010-11-22,31.57,33.450001,31.5,33.400002,33.400002,1529700,21.23390007
2010-11-23,33.290001000000004,35.68,32.189999,34.57,34.57,1577800,21.38760006
2010-11-24,35.27,35.970001,34.330002,35.470001,35.470001,1425000,21.58120006
2010-11-26,35.599998,36.0,34.75,35.32,35.32,350600,21.77640006
2010-11-29,35.41,35.950001,33.330002,34.330002,34.330002,1145600,21.94510009
2010-11-30,33.740002000000004,35.330002,33.41,35.330002,35.330002,2222600,22.12440011
2010-12-01,35.869999,36.419998,33.450001,34.349998,34.349998,1299200,22.297400100000004
2010-12-02,34.009998,34.299999,31.200001,32.349998,32.349998,2007000,22.439500090000006
2010-12-03,32.009998,32.25,30.870001,31.49,31.49,1160100,22.55600009
2010-12-06,31.35,31.450001,29.559999,30.309999,30.309999,1274400,22.660200090000004
2010-12-07,30.49,32.400002,30.049999,31.559999,31.559999,1311300,22.769400090000005
2010-12-08,32.48,32.490002000000004,31.52,32.369999,32.369999,660000,22.874000080000005
2010-12-09,32.509998,32.720001,31.65,32.049999,32.049999,406000,22.991500080000005
2010-12-10,32.049999,32.919998,31.129999,31.52,31.52,429400,23.104500090000005
2010-12-13,31.639999,31.77,30.4,30.549999,30.549999,410400,23.200000080000006
2010-12-14,30.290001,30.389999,27.76,28.530001,28.530001,1765700,23.272400080000008
2010-12-15,28.67,29.969999,28.530001,29.6,29.6,742900,23.358900070000004
2010-12-16,30.0,30.91,29.65,30.809999,30.809999,790100,23.461500070000007
2010-12-17,31.34,31.540001,30.709999,31.360001,31.360001,813000,23.56790009000001
2010-12-20,31.639999,32.189999,31.26,31.700001,31.700001,523400,23.68140010000001
2010-12-21,31.799999,32.689999,31.709999,32.259998,32.259998,777700,23.80460007000001
2010-12-22,32.25,32.860001000000004,31.700001,32.630001,32.630001,833300,23.921700080000008
2010-12-23,31.26,32.48,29.92,30.09,30.09,1552600,24.00310007000001
2010-12-27,28.02,28.58,25.059999,25.549999,25.549999,9301900,24.046000060000004
2010-12-28,25.85,26.75,25.0,26.41,26.41,4056300,24.105600050000003
2010-12-29,27.030001,28.01,26.5,27.73,27.73,3319200,24.18700005
2010-12-30,27.700001,27.9,26.379999,26.5,26.5,2041100,24.25600005
2010-12-31,26.57,27.25,26.5,26.629999,26.629999,1417900,24.332000030000003
2011-01-03,26.84,27.0,25.9,26.620001,26.620001,1283000,24.41920004
2011-01-04,26.66,26.950001,26.02,26.67,26.67,1187400,24.50990004
2011-01-05,26.48,26.9,26.190001,26.83,26.83,1446700,24.59500004
2011-01-06,26.83,28.0,26.809999,27.879999,27.879999,2061200,24.68600002
2011-01-07,28.0,28.58,27.9,28.24,28.24,2247900,24.77690002
2011-01-10,28.17,28.68,28.049999,28.450001,28.450001,1342700,24.87370003
2011-01-11,28.59,28.709999,26.92,26.959999,26.959999,1710200,24.95540001
2011-01-12,27.01,27.4,26.52,26.959999,26.959999,964400,25.034000000000006
2011-01-13,26.959999,26.969999,26.16,26.219999,26.219999,723600,25.094900000000003
2011-01-14,26.15,26.58,25.610001,25.75,25.75,1192000,25.160399990000002
2011-01-18,25.48,25.639999,24.75,25.639999,25.639999,1621700,25.21779998
2011-01-19,25.27,25.469999,23.75,24.030001,24.030001,2371500,25.26059999
2011-01-20,24.030001,24.450001,22.370001,22.620001,22.620001,2279900,25.289799989999995
2011-01-21,23.120001,23.59,22.709999,23.040001,23.040001,1217000,25.321499989999996
2011-01-24,23.530001,24.809999,23.23,24.49,24.49,1645100,25.371599989999996
2011-01-25,24.65,24.889999,24.02,24.68,24.68,1271500,25.413899979999993
2011-01-26,24.709999,24.879999,24.1,24.75,24.75,1079900,25.450799989999993
2011-01-27,24.74,25.08,24.530001,24.92,24.92,895700,25.489499999999992
